requestId,clientId,endpoint,method,timestamp,status,responseCode,responseTimeMs,rateLimit,remaining,windowSeconds,abuseDetected,abuseReason,severity
e954a069-df0c-4125-a3f0-df4eb97a0f53,PartnerAPI,/api/read,GET,2026-09-18T22:04:13,ALLOWED,200,135,10,10,10,false,,NORMAL
b5071467-cde8-4935-adfc-9ecdeb4a8bba,PartnerAPI,/api/write,POST,2026-09-18T22:04:13,ALLOWED,200,26,10,9,10,false,,NORMAL
f6ddc3b5-8c0e-443a-9a9e-13844b2e00a8,PartnerAPI,/api/update,PUT,2026-09-18T22:04:13,ALLOWED,200,40,10,8,10,false,,NORMAL
c25154a0-cd5c-4285-be62-fbddd679c414,PartnerAPI,/api/delete,DELETE,2026-09-18T22:04:13,ALLOWED,200,130,10,7,10,false,,NORMAL
a8d26dcc-5fbc-4e26-9722-f6a739da1eef,PartnerAPI,/api/read,GET,2026-09-18T22:04:13,ALLOWED,200,52,10,6,10,true,Burst detected: 4 requests within 3 seconds starting at 22:04:03,WARNING
99ba9e29-4092-44ad-b08f-f09ca38361de,PartnerAPI,/api/write,POST,2026-09-18T22:04:13,ALLOWED,200,87,10,5,10,true,Burst detected: 5 requests within 3 seconds starting at 22:04:03; Burst detected: 4 requests within 3 seconds starting at 22:04:04,WARNING
30abfc7a-dd3a-4720-8c60-c0bdaff6b3da,PartnerAPI,/api/update,PUT,2026-09-18T22:04:13,ALLOWED,200,72,10,4,10,true,Fixed window limit exceeded: 6 requests in 10s window (limit: 5); Sliding window abuse detected: 6 requests within 10s window (limit: 5); Burst detected: 6 requests within 3 seconds starting at 22:04:03; Burst detected: 5 requests within 3 seconds starting at 22:04:04; Burst detected: 4 requests within 3 seconds starting at 22:04:04,CRITICAL
15c876ee-dfc2-4953-9e9d-15099f4eacfe,PartnerAPI,/api/delete,DELETE,2026-09-18T22:04:13,ALLOWED,200,30,10,3,10,true,Fixed window limit exceeded: 7 requests in 10s window (limit: 5); Sliding window abuse detected: 6 requests within 10s window (limit: 5); Burst detected: 7 requests within 3 seconds starting at 22:04:03; Burst detected: 6 requests within 3 seconds starting at 22:04:04; Burst detected: 5 requests within 3 seconds starting at 22:04:04; Burst detected: 4 requests within 3 seconds starting at 22:04:05,CRITICAL
9f6b5896-2c96-4e77-b982-bec581113b6d,PartnerAPI,/api/read,GET,2026-09-18T22:04:13,ALLOWED,200,105,10,2,10,true,Fixed window limit exceeded: 8 requests in 10s window (limit: 5); Sliding window abuse detected: 6 requests within 10s window (limit: 5); Burst detected: 7 requests within 3 seconds starting at 22:04:03; Burst detected: 7 requests within 3 seconds starting at 22:04:04; Burst detected: 6 requests within 3 seconds starting at 22:04:04; Burst detected: 5 requests within 3 seconds starting at 22:04:05; Burst detected: 4 requests within 3 seconds starting at 22:04:05; Retry abuse detected: 7 rapid retry attempts (< 1 second apart),CRITICAL
906cab4b-1f4a-4d24-94ba-ec8b91a32e8e,PartnerAPI,/api/write,POST,2026-09-18T22:04:13,ALLOWED,200,40,10,1,10,true,Fixed window limit exceeded: 9 requests in 10s window (limit: 5); Sliding window abuse detected: 6 requests within 10s window (limit: 5); Burst detected: 7 requests within 3 seconds starting at 22:04:03; Burst detected: 7 requests within 3 seconds starting at 22:04:04; Burst detected: 6 requests within 3 seconds starting at 22:04:05; Burst detected: 5 requests within 3 seconds starting at 22:04:05; Burst detected: 4 requests within 3 seconds starting at 22:04:06; Retry abuse detected: 8 rapid retry attempts (< 1 second apart); Excessive consecutive requests: 9 requests in quick succession,CRITICAL
