timestamp,clientId,requestType
10:00:00,CLIENT_A,READ
10:00:05,CLIENT_A,READ
10:00:10,CLIENT_A,WRITE
10:00:18,CLIENT_A,READ
10:00:25,CLIENT_A,UPDATE
10:00:35,CLIENT_A,READ
10:00:45,CLIENT_A,WRITE
10:00:55,CLIENT_A,READ
10:01:10,CLIENT_A,READ
10:01:20,CLIENT_A,UPDATE
10:01:30,CLIENT_A,READ
10:01:40,CLIENT_A,WRITE
10:02:00,CLIENT_B,READ
10:02:01,CLIENT_B,READ
10:02:01,CLIENT_B,WRITE
10:02:02,CLIENT_B,READ
10:02:02,CLIENT_B,UPDATE
10:02:03,CLIENT_B,DELETE
10:02:04,CLIENT_B,READ
10:02:04,CLIENT_B,WRITE
10:02:05,CLIENT_B,READ
10:02:06,CLIENT_B,UPDATE
10:02:07,CLIENT_B,DELETE
10:02:08,CLIENT_B,READ
10:02:09,CLIENT_B,WRITE
10:02:10,CLIENT_B,READ
10:03:00,CLIENT_C,WRITE
10:03:01,CLIENT_C,WRITE
10:03:01,CLIENT_C,WRITE
10:03:02,CLIENT_C,WRITE
10:03:02,CLIENT_C,WRITE
10:03:03,CLIENT_C,WRITE
10:03:03,CLIENT_C,WRITE
10:03:04,CLIENT_C,WRITE
10:03:04,CLIENT_C,WRITE
10:03:05,CLIENT_C,DELETE
10:03:05,CLIENT_C,WRITE
10:03:06,CLIENT_C,WRITE
10:04:00,CLIENT_D,DELETE
10:04:05,CLIENT_D,UPDATE
10:04:15,CLIENT_D,WRITE
10:04:30,CLIENT_D,READ
10:04:45,CLIENT_D,READ
03:15:00,CLIENT_D,DELETE
03:15:15,CLIENT_D,UPDATE
03:15:30,CLIENT_D,WRITE
03:16:00,CLIENT_D,DELETE
03:16:30,CLIENT_D,READ
10:05:00,CLIENT_A,READ
10:05:10,CLIENT_A,WRITE
10:05:20,CLIENT_A,READ
10:05:30,CLIENT_A,UPDATE
10:06:00,CLIENT_A,READ
10:06:15,CLIENT_A,READ
10:06:30,CLIENT_A,WRITE
10:06:45,CLIENT_A,READ
10:07:00,CLIENT_B,READ
10:07:01,CLIENT_B,READ
10:07:01,CLIENT_B,WRITE
10:07:02,CLIENT_B,WRITE
10:07:02,CLIENT_B,READ
10:07:03,CLIENT_B,DELETE
10:07:03,CLIENT_B,UPDATE
10:07:04,CLIENT_B,READ
10:07:05,CLIENT_B,WRITE
10:07:06,CLIENT_B,READ
10:07:30,CLIENT_E,READ
10:07:31,CLIENT_E,READ
10:07:32,CLIENT_E,READ
10:07:33,CLIENT_E,READ
10:07:34,CLIENT_E,READ
10:07:35,CLIENT_E,READ
10:07:36,CLIENT_E,READ
10:07:37,CLIENT_E,READ
10:08:00,CLIENT_C,WRITE
10:08:01,CLIENT_C,WRITE
10:08:01,CLIENT_C,WRITE
10:08:02,CLIENT_C,WRITE
10:08:02,CLIENT_C,WRITE
10:08:03,CLIENT_C,WRITE
10:08:04,CLIENT_C,DELETE
10:08:05,CLIENT_C,UPDATE
10:08:20,CLIENT_A,UPDATE
10:08:35,CLIENT_A,READ
10:08:50,CLIENT_A,WRITE
10:09:00,CLIENT_A,READ
10:09:15,CLIENT_D,READ
10:09:30,CLIENT_D,UPDATE
10:09:45,CLIENT_D,WRITE
10:10:00,CLIENT_D,DELETE
04:00:00,CLIENT_D,DELETE
04:00:10,CLIENT_D,DELETE
04:00:20,CLIENT_D,WRITE
04:00:30,CLIENT_D,UPDATE
10:11:00,CLIENT_E,WRITE
10:11:05,CLIENT_E,WRITE
10:11:10,CLIENT_E,UPDATE
10:11:15,CLIENT_E,READ
10:11:30,CLIENT_B,READ
10:11:35,CLIENT_B,UPDATE
10:11:45,CLIENT_A,READ
10:11:55,CLIENT_A,WRITE
